ciclomes,numindice,pa,ppa
1,103.17,0.97,0.03
2,103.68,0.96,0.04
3,104.23,0.96,0.04
4,105.22,0.95,0.05
5,105.85,0.94,0.06
6,105.78,0.95,0.05
7,105.74,0.95,0.05
8,105.97,0.94,0.06
9,106.2,0.94,0.06
10,106.3,0.94,0.06
11,106.83,0.94,0.06
12,107.18,0.93,0.07
13,107.58,0.93,0.07
14,107.72,0.93,0.07
15,107.85,0.93,0.07
16,108.23,0.92,0.08
17,108.72,0.92,0.08
110,142.85,0.7,0.3
111,144.86,0.69,0.31
112,145.47,0.69,0.31
113,146.05,0.68,0.32
114,146.28,0.68, 0.32
115,147.83,0.68,0.32
116,148.65,0.67,0.33
117,148.64,0.67,0.33
118,148.87,0.67,0.33
119,149.34,0.67,0.33
120,149.84,0.67,0.33
121,150,0.67,0.33
122,150.24,0.67,0.33
123,150.52,0.66,0.34
124,151.02,0.66,0.34
125,151.33,0.66,0.34
126,151.65,0.66,0.34
127,152.2,0.66,0.34
128,152.94,0.65,0.35
